,cleaned_text
231,santuy aja bang ga tanggepin btw gw suka gaya lo
232,narkoboy kontol maen cew nyakitin doang lu anj mati aja lu bego
233,tetep penjara aja ajg nyusahin lo
234,cew cakep setia disia sia in sahabat
235,loh ak liatnya anj yaa
236,anjingnya guy gue liat babi item
237,mantan anj eh kebalik anj mantan
238,bikin skandal kepengen tenar
239,wiii anjay liat babi megang anj
240,foto babi memeluk anj yg pemilik nya bidadari
241,babi g pant nyentuh anjingnya bidadari kotor
242,anj foto ya
243,potret seorj memegang anj kwkw
244,heh udh napa hate nya cape gw baca nya
245,ganteng anjingnya eh eh lu ga pant anj anj setia pantesnya sih babi hahahaha
246,kalo lomba an sm babi babi nya nmr
247,si anj berfoto si anj
248,kak jessica yg nungguin setia sm kk loh pa ad kmrn kk ga ngehargain lbh milih yg d sono
249,erikontolim manusia babi anak lont
250,hargailah hati wanita udh tulu nemenin lo
251,bagu sih erick mutusin jessica ya karna erick kelakuan ny begituu coba liat jessica
252,anj hebat ya pake kacamata
253,sdh lh nasi udah jdi bubur ga dibentuk kek semulaaa
254,kukira kehadiranmu kebanggaan
255,ajg yg tato bener ajg
256,dasar orang tua gada akhlak ngajarin anaknya ga bener
257,erik sih jelasin gw ga updat maap
258,eh anjingnya ci jessica gua lempar lu
259,guy dr pd comment mend unfol sm unsubscrib aja yaa
260,babi main ma anj
261,dikasi bidadari pilih babi
262,postingan jg dihujat gila netijen
263,kali lihat anj babi baikan
264,dikasih bidadari milih setan
265,gw g benci ama lu bro tpi aja tingkah lu melenceng
266,sikap mu naji ludah anj
267,njir udh nih poto post yg komen
268,kesini cmn mo liat komen aja
269,buset hate comment amp postingan
270,foto upload nya maret comment jam jam jam yg
271,pant utang bayar lont
272,tutup botol muka lu kek kontol wkwk
273,astaga pagi dibikin ngakak ama komenan netijen yg ngmng suka bener
274,dah gw capek baca komen
275,keliatan bgt anjingnya ketakutan foto dakjal
276,astaga ngehujat samp postingan
277,naji elu anj
278,ekor anj buaya makan jambut
279,kalo disuruh melihara anj eric gw pilih anj aja naji najisan erick kontol
280,ngapain si ngejudg mikir putu kejadian tolol
281,hargai wanitamu didekati pria memilihmu
282,sipat anj anj doang ya manusia sipat anj
283,potret anj poto setan
284,bantu bedainn woyi anj babi
285,udaah woii udahh lu gak kasihan capek ngelik komenan
286,anj anj berwujud manusia anj asli perwujudan aowkwkw
287,kasian gue anjingnya dipegang dajjal
288,kasian anj nya pegang babi
289,lo kontol gak ajg anak dakjal
290,mukak lu buruk anj lu
291,dikasi bene milih dakian
292,mend masuk penjara aja dah seumur hidup
293,lbih lucu anjingnya ya ktimbang orangnya
294,jesica lepa kamb hitam
295,maafin aja bro orang kesalahan kesalahan nasehatin aja tau berubah
296,kasian anjingnya dipeluk sma sampahh
297,gua penjara berubah
298,cintamu sebata kerta wkwkw enteng bang
299,jane respect skrg bener udah hilang respect
300,udah nemenin tersulit lo pa udah selingkuh ga nyangka idola gua sesampah
301,dihujat habi an postingan komen wkwk
302,gua gabisa bedain anj manusia keliatannya
303,lu anaknya kick andi yg namanya marlo bang
304,orang karna orang jahat
305,ngga niatan ngadain pengajian gitu bang
306,suka banget rambutnyaa ganteng
307,abatartila aja kaya gini bilang king king muke nya udh kaya tai musang
308,ninggalin berlian tai babi dih
309,ganteng kaga lu keliatan kaya daki kontol
310,mukak lo kayak tapir kuda asu sok ganteng banget lo
311,yg kecewa lu rik
312,maap ye muke lu udh jelek kaga sok selingkuh cakepan anj gua noh
313,si hebatnya banci yg badannya penuh koreng kaya lo
314,gini bersihan kaga kek dekil
315,muka lu keriput kek aki aki
316,foto jelek dihujat foto ganteng dibilang sok ganteng
317,kebanyakan nyabu kuru lu
318,narkoboyi ngeluarin lidahh ajg te urin
319,fotolu pede anjrit muka lu tu anjrit
320,hidup jngn boss playboy ajg luu
